MatchNumber,first,second,third,fourth,fifth,sixth,seventh,eighth,ninth,tenth,eleventh,first2,second2,third2,fourth2,fifth2,sixth2,seventh2,eighth2,ninth2,tenth2,eleventh2,first3,second3,third3,fourth3,fifth3,sixth3,seventh3,eighth3,ninth3,tenth3,eleventh3,teamscore,teamwickets,teamscore2,teamwickets2,__v
1,2,7,40,30,42,7,81,87,29,4,12,22,60,39,37,32,29,24,19,58,4,33,1.8,1.7,1.3,1.4,1.5,2.11,2.2,2.3,2.4,2.5,2.9,131,5,133,4,0
2,65,120,39,12,7,26,15,68,-2,29,83,66,39,10,5,10,72,58,26,56,89,-2,1.2,2.12,1.1,1.11,1.3,1.8,2.1,2.2,2.6,2.7,2.9,177,5,179,6,0
3,121,56,45,55,4,20,27,4,29,23,56,48,60,33,67,41,30,2,29,-2,4,41,1.1,2.4,1.11,1.2,1.3,1.4,2.1,2.11,2.2,2.3,2.5,205,2,208,5,0
4,10,12,16,19,118,63,4,78,63,4,29,10,50,8,22,56,45,61,39,6,50,101,1.5,2.11,1.6,1.8,1.9,2.12,2.2,2.5,2.6,2.7,2.8,158,6,161,5,0
5,28,52,67,94,70,26,8,-1,95,78,72,8,2,6,18,88,16,57,59,32,60,62,1.9,1.4,1.11,1.12,1.3,1.5,2.11,2.12,2.5,2.7,2.8,210,6,149,7,0
6,22,15,25,21,20,42,40,50,88,82,41,26,2,26,29,33,47,129,39,96,103,31,2.7,2.12,1.11,1.12,1.6,1.7,1.8,1.9,2.6,2.8,2.9,128,10,132,7,0
7,5,78,55,47,32,30,70,38,52,0,27,60,84,93,17,20,27,0,-2,60,84,62,2.3,2.2,1.2,1.3,1.4,1.7,1.9,2.1,2.11,2.12,2.9,210,7,211,4,0
8,5,23,26,48,42,2,27,16,68,2,80,19,7,41,24,39,137,41,82,23,144,10,2.12,2.6,1.11,1.4,1.5,1.7,1.9,2.3,2.5,2.7,2.8,137,10,141,4,0
9,159,5,59,20,58,18,38,60,30,64,29,24,87,10,114,52,21,2,9,97,83,4,1.1,2.4,1.12,1.3,1.5,1.7,1.8,2.12,2.2,2.5,2.9,193,8,170,8,0
10,116,33,30,72,28,19,27,37,114,4,62,15,7,26,68,33,40,12,30,53,54,90,1.1,1.9,1.11,1.4,1.8,2.11,2.12,2.4,2.5,2.6,2.9,171,6,157,9,0
11,17,51,15,145,10,52,32,53,42,94,38,5,35,2,27,35,36,73,45,60,47,31,1.4,1.12,1.11,1.2,1.6,1.8,1.9,2.12,2.7,2.8,2.9,180,8,126,10,0
12,106,21,26,5,84,38,63,93,12,12,114,31,19,16,69,57,2,68,83,15,72,-1,1.11,1.1,1.5,1.6,1.7,1.8,2.12,2.4,2.5,2.7,2.8,169,7,157,9,0
13,96,8,51,28,60,4,4,33,70,2,74,40,34,17,67,5,69,37,37,46,2,2,1.1,1.11,1.3,1.5,1.9,2.1,2.4,2.6,2.7,2.8,2.9,169,3,173,6,0
14,17,1,75,63,32,41,47,54,4,48,12,9,70,24,55,14,18,6,128,31,8,29,2.8,1.3,1.12,1.4,1.5,1.6,1.7,1.8,2.2,2.4,2.9,161,4,162,5,0
15,100,2,1,54,55,33,16,29,62,6,-2,31,117,3,15,25,29,4,45,4,66,2,2.2,1.1,1.4,1.5,1.6,1.8,1.9,2.1,2.12,2.6,2.8,149,3,155,4,0
16,26,47,97,34,38,23,-2,55,53,6,15,25,141,49,63,19,29,4,103,29,43,48,2.2,2.8,1.2,1.3,1.5,1.8,1.9,2.11,2.12,2.3,2.4,189,9,190,4,0
17,22,23,73,35,37,7,7,36,14,4,29,100,52,70,45,10,4,58,29,29,20,62,2.1,1.3,1.4,1.5,1.8,2.11,2.2,2.3,2.4,2.7,2.8,154,7,155,2,0
18,42,33,46,111,2,2,18,4,43,4,16,19,94,63,26,4,21,10,72,66,45,6,1.4,2.2,1.1,1.2,1.3,1.9,2.12,2.3,2.4,2.8,2.9,151,6,152,3,0
19,88,85,55,30,12,38,40,94,128,8,85,17,27,79,22,46,56,71,3,33,12,36,1.9,1.8,1.1,1.11,1.2,1.3,1.7,2.3,2.5,2.6,2.7,215,5,171,10,0
20,20,37,19,9,88,30,37,48,72,29,126,2,51,62,32,9,30,70,68,23,4,46,1.11,1.5,1.2,1.7,1.8,1.9,2.11,2.2,2.3,2.7,2.8,165,6,162,8,0
21,26,12,25,95,16,19,54,31,0,4,2,66,87,44,60,17,4,10,54,31,37,68,1.4,2.2,1.1,1.7,1.8,2.1,2.11,2.12,2.3,2.4,2.8,162,7,168,2,0
22,128,24,9,142,12,97,4,27,18,136,23,12,25,13,42,62,57,59,61,44,21,-2,1.4,1.12,1.1,1.6,1.8,2.4,2.5,2.6,2.7,2.8,2.9,216,4,193,9,0
23,100,103,17,6,64,125,23,54,2,35,18,43,7,77,70,57,23,49,29,39,4,58,1.6,1.2,1.1,1.5,1.8,2.1,2.11,2.3,2.4,2.5,2.7,198,5,186,9,0
24,27,35,14,164,60,63,12,6,95,29,81,86,2,25,20,51,22,50,22,23,8,34,1.4,1.9,1.11,1.12,1.2,1.5,1.6,2.1,2.11,2.5,2.7,192,4,155,9,0
25,13,13,35,78,131,13,38,16,5,10,-2,1,24,105,100,25,12,35,29,39,64,99,1.5,2.3,1.3,1.4,1.7,2.11,2.12,2.4,2.7,2.8,2.9,175,8,176,3,0
26,148,60,54,30,65,4,37,5,39,83,29,19,27,53,32,50,40,42,72,45,6,-2,1.1,1.12,1.2,1.3,1.5,2.3,2.5,2.6,2.7,2.8,2.9,199,4,181,9,0
27,14,10,25,84,49,115,19,47,2,85,54,23,98,14,55,2,25,48,60,45,0,29,1.6,2.2,1.11,1.12,1.4,1.5,1.8,2.4,2.7,2.8,2.9,189,5,173,7,0
28,21,20,18,91,17,51,19,29,56,4,4,44,23,52,59,60,4,45,87,12,158,29,2.12,1.4,1.6,1.8,1.9,2.1,2.3,2.4,2.5,2.7,2.8,151,10,152,3,0
29,9,112,21,64,25,69,12,99,6,56,31,13,2,10,138,26,4,56,62,6,27,41,2.4,1.2,1.11,1.12,1.4,1.6,1.8,2.11,2.12,2.7,2.8,169,5,170,7,0
